Address with post code (Gas Stations),Address,City,Post Code,Franchise (or private),Highway,Link
"2800 Tatabánya, Kossuth Lajos u.  (mol)","Tatabánya, Kossuth Lajos u.",Tatabánya,2800,mol,0,https://holtankoljak.net/mol_Tatabanya_KossuthLajosu
"8200 Veszprém, Budapesti u. 70. (mol)","Veszprém, Budapesti u. 70.",Veszprém,8200,mol,0,https://holtankoljak.net/mol_Veszprem_Budapestiu70
"2483 Gárdony, Szabadság u. 9 (mol)","Gárdony, Szabadság u. 9",Gárdony,2483,mol,0,https://holtankoljak.net/mol_Gardony_Szabadsagu9
"7562 Segesd, Dózsa György tér  (mol)","Segesd, Dózsa György tér",Segesd,7562,mol,0,https://holtankoljak.net/mol_Segesd_DozsaGyorgyter
"6000 Kecskemét, Izsáki út 67. (mol)","Kecskemét, Izsáki út 67.",Kecskemét,6000,mol,0,https://holtankoljak.net/mol_Kecskemet_Izsakiut67
"3000 Hatvan, Elkerülő út (mol)","Hatvan, Elkerülő út",Hatvan,3000,mol,0,https://holtankoljak.net/mol_Hatvan_Elkerulout
"1182 Budapest XVIII, Méta u. Cziffra György utca (shell)","Budapest XVIII, Méta u. Cziffra György utca",Budapest XVIII,1182,shell,0,https://holtankoljak.net/shell_budapest_xviii_cziffragyorgyutca
"2100 Gödöllő, M3-as Észak (lukoil)","Gödöllő, M3-as Észak",Gödöllő,2100,lukoil,1,https://holtankoljak.net/lukoil_godollo_m3-aseszak
"3388 Poroszló, 33-as Főút (lukoil)","Poroszló, 33-as Főút",Poroszló,3388,lukoil,0,https://holtankoljak.net/lukoil_poroszlo_33-asfout
"9025 Győr, Farkas Mátyás utca 4. (mol-partner)","Győr, Farkas Mátyás utca 4.",Győr,9025,mol-partner,0,https://holtankoljak.net/mol-partner_Gyor_FarkasMatyasutca4
"7226 Kurd, Hunyadi u. 22/a (magán)","Kurd, Hunyadi u. 22/a",Kurd,7226,magán,0,https://holtankoljak.net/sza_oil_kft__kurd_hunyadiu22a#tartalom
"6440 Jánoshalma, Halasi út 91. (4099/3. hrsz). (mol)","Jánoshalma, Halasi út 91.",Jánoshalma,6440,mol,0,https://holtankoljak.net/mol_janoshalma_halasiut9140993hrsz#tartalom
"1116 Budapest XI, Péterhegyi út 66-68. (omv)","Budapest XI, Péterhegyi út 66-68.",Budapest XI,1116,omv,0,https://holtankoljak.net/omv_budapest_xi_peterhegyiut66-68
"2475 Kápolnásnyék, 7. sz. főút 43. km (AVIA)","Kápolnásnyék, 7. sz. főút 43. km",Kápolnásnyék,2475,AVIA,0,https://holtankoljak.net/AVIA_Kapolnasnyek_7szfout43km
