Address with post code (Gas Stations),Address,City,Post Code,Franchise (or private),Highway,Link
"2351 Alsónémedi, Alsónémedi 5. sz. főút (omv)","Alsónémedi, Alsónémedi 5. sz. főút",Alsónémedi,2351,omv,0,https://holtankoljak.net/omv_Alsonemedi_Alsonemedi5szfout
"3441 Mezőkeresztes, M3, Gelej DÉL (shell)","Mezőkeresztes, M3, Gelej DÉL",Mezőkeresztes,3441,shell,1,https://holtankoljak.net/shell_mezokeresztes_m3gelejeszak
"8360 Keszthely, Hévizi út (Mobil Petrol)","Keszthely, Hévizi út",Keszthely,8360,Mobil Petrol,0,https://holtankoljak.net/Mobil_Petrol_Keszthely_Heviziut
"6525 Hercegszántó, Hrsz:1216/2 (avia)","Hercegszántó, Hrsz:1216/2",Hercegszántó,6525,avia,0,https://holtankoljak.net/avia_hercegszanto_hrsz12162#tartalom
"5008 Szolnok, Simon Ferenc utca 46. (mol-partner)","Szolnok, Simon Ferenc utca 46.",Szolnok,5008,mol-partner,0,https://holtankoljak.net/mol-partner_Szolnok_SimonFerencutca46
"9025 Győr, Csipkegyári utca 1 (mobil-petrol)","Győr, Csipkegyári utca 1",Győr,9025,mobil-petrol,0,https://holtankoljak.net/mobil-petrol_Gyor_Csipkegyariutca1
"2049 Diósd, Tétényi u. 2. (hrsz 3666/1) (mol)","Diósd, Tétényi u. 2.",Diósd,2049,mol,0,https://holtankoljak.net/mol_diosd_tetenyiu2hrsz36661#tartalom
"2133 Sződliget, 2-es főút 27 (OIL!)","Sződliget, 2-es főút 27",Sződliget,2133,OIL!,0,https://holtankoljak.net/oil_szodliget_2-esfout27
"2730 Albertirsa, Béke u. 43. (GPW Oil )","Albertirsa, Béke u. 43.",Albertirsa,2730,GPW Oil ,0,https://holtankoljak.net/GPW_Oil__Albertirsa_Bekeu43
"1139 Budapest XIII, Váci út 95. (omv)","Budapest XIII, Váci út 95.",Budapest XIII,1139,omv,0,https://holtankoljak.net/omv_budapest_xiii_vaciut95
"7600 Pécs, Budai vám 1. (6.sz. főút mellett) (shell)","Pécs, Budai vám 1.",Pécs,7600,shell,0,https://holtankoljak.net/shell_pecs_budaivam16szfoutmellett
"2400 Dunaújváros, Aranyvölgyi út - Magyar u. (omv)","Dunaújváros, Aranyvölgyi út - Magyar u.",Dunaújváros,2400,omv,0,https://holtankoljak.net/oil_dunaujvaros_aranyvolgyiut6tescoparkolo#tartalom
"1106 Budapest X, Fehér u. 3. (X.) (mol)","Budapest X, Fehér u. 3.",Budapest X,1106,mol,0,https://holtankoljak.net/mol_budapest_feheru3x
"8752 Zalakomár, 8752 dél - INA benzikút M7 (mol)","Zalakomár, 8752 dél - INA benzikút M7",Zalakomár,8752,mol,1,https://holtankoljak.net/mol_zalakomar_8752del-inabenzikutm7#tartalom
"1148 Budapest XIV, Kerepesi út 42-46. (shell)","Budapest XIV, Kerepesi út 42-46.",Budapest XIV,1148,shell,0,https://holtankoljak.net/shell_budapest_xiv_kerepesiut42-46
"8394 Alsópáhok, Hévizi út 14. (mobil_petrol)","Alsópáhok, Hévizi út 14.",Alsópáhok,8394,mobil_petrol,0,https://holtankoljak.net/mobil_petrol_Alsopahok_Heviziut14
"7030 Paks, Dunakömlőd - Szabadság u. 14. 8229/2 hrsz. (Magán kút)","Paks, Dunakömlőd - Szabadság u. 14. 8229/2 hrsz.",Paks,7030,Magán kút,0,https://holtankoljak.net/magan_kut_paks_dunakomlod-szabadsagu1482292hrsz
"8500 Pápa, Külső Veszprémi út 75. (oil)","Pápa, Külső Veszprémi út 75.",Pápa,8500,oil,0,https://holtankoljak.net/oil_Papa_KulsoVeszpremiut75
"4080 Hajdúnánás, Dorogi út vége (omv)","Hajdúnánás, Dorogi út vége",Hajdúnánás,4080,omv,0,https://holtankoljak.net/omv_Hajdunanas_Dorogiutvege
"3300 Eger, Kistályai út 1./a (mol)","Eger, Kistályai út 1./a",Eger,3300,mol,0,https://holtankoljak.net/mol_Eger_Kistalyaiut1a
"8648 Balatonkeresztúr, 7.sz.fkl.út  (mol)","Balatonkeresztúr, 7.sz.fkl.út",Balatonkeresztúr,8648,mol,0,https://holtankoljak.net/mol_Balatonkeresztur_7szfklut
"8600 Siófok, Bajcsy-Zsilinszky utca 214. (Tabol)","Siófok, Bajcsy-Zsilinszky utca 214.",Siófok,8600,Tabol,0,https://holtankoljak.net/tabol_kft__siofok_bajcsy-zsilinszkyutca214
"4287 Vámospércs, Debreceni út (mol)","Vámospércs, Debreceni út",Vámospércs,4287,mol,0,https://holtankoljak.net/mol_Vamospercs_Debreceniut
"1213 Budapest XXI, Szent István út (XXI.) (mol)","Budapest XXI, Szent István út",Budapest XXI,1213,mol,0,https://holtankoljak.net/mol_budapest_szentistvanutxxi
"1106 Budapest X, Kerepesi út 73. (omv)","Budapest X, Kerepesi út 73.",Budapest X,1106,omv,0,https://holtankoljak.net/omv_budapest_x_kerepesiut73
"5100 Jászberény, Nagykátai út 3. (avia)","Jászberény, Nagykátai út 3.",Jászberény,5100,avia,0,https://holtankoljak.net/avia_Jaszbereny_Nagykataiut3
"6500 Baja, Szegedi út 105. (mol)","Baja, Szegedi út 105.",Baja,6500,mol,0,https://holtankoljak.net/mol_Baja_Szegediut105
"2462 Martonvásár, Bajcsy Zs. U. 31. (avia)","Martonvásár, Bajcsy Zs. U. 31.",Martonvásár,2462,avia,0,https://holtankoljak.net/avia_Martonvasar_BajcsyZsU31
"8182 Berhida, 1784 hrsz (oil)","Berhida, 1784 hrsz",Berhida,8182,oil,0,https://holtankoljak.net/oil_Berhida_1784hrsz
"1046 Budapest IV, Fóti út 130. (mol)","Budapest IV, Fóti út 130.",Budapest IV,1046,mol,0,https://holtankoljak.net/mol_Budapest_Fotiut130
"8800 Nagykanizsa, Magyar u. 118. (lukoil)","Nagykanizsa, Magyar u. 118.",Nagykanizsa,8800,lukoil,0,https://holtankoljak.net/lukoil_Nagykanizsa_Magyaru118
"6728 Szeged, Zápor út 4. (auchan)","Szeged, Zápor út 4.",Szeged,6728,auchan,0,https://holtankoljak.net/auchan_Szeged_Zaporut4
"6500 Baja, Dózsa Gy. út 13. (shell)","Baja, Dózsa Gy. út 13.",Baja,6500,shell,0,https://holtankoljak.net/shell_Baja_DozsaGyut13
"8175 Balatonfűzfő, Árpád utca 1. (omv)","Balatonfűzfő, Árpád utca 1.",Balatonfűzfő,8175,omv,0,https://holtankoljak.net/omv_Balatonfuzfo_arpadutca1
"7600 Pécs, Zsolnay út 50. (omv)","Pécs, Zsolnay út 50.",Pécs,7600,omv,0,https://holtankoljak.net/omv_Pecs_Zsolnayut50
"4002 Debrecen, Sámsoni út (mol)","Debrecen, Sámsoni út",Debrecen,4002,mol,0,https://holtankoljak.net/mol_Debrecen_Samsoniut
"9700 Szombathely, Zanati út II. 29. (mol)","Szombathely, Zanati út II. 29.",Szombathely,9700,mol,0,https://holtankoljak.net/mol_Szombathely_ZanatiutII29
"4002 Debrecen, István út 147. (mol)","Debrecen, István út 147.",Debrecen,4002,mol,0,https://holtankoljak.net/mol_Debrecen_Istvanut147
"2870 Kisbér, 81. sz. főút (omv)","Kisbér, 81. sz. főút",Kisbér,2870,omv,0,https://holtankoljak.net/omv_Kisber_81szfout
"1183 Budapest XVIII, Gyömrői út 156. (shell)","Budapest XVIII, Gyömrői út 156.",Budapest XVIII,1183,shell,0,https://holtankoljak.net/shell_budapest_xviii_gyomroiut156
"7500 Nagyatád, Lábodi út 30. (mol)","Nagyatád, Lábodi út 30.",Nagyatád,7500,mol,0,https://holtankoljak.net/mol_Nagyatad_Labodiut30
"2943 Bábolna, Bábolna - Concó pihenő észak, M1 autópálya 93. kmsz (omv)","Bábolna, Bábolna - Concó pihenő észak, M1 autópálya 93. kmsz",Bábolna,2943,omv,1,https://holtankoljak.net/omv_babolna_babolna-concopihenoeszakm1autopalya93kmsz#tartalom
"4254 Nyíradony, Debreceni út 100. (AVIA)","Nyíradony, Debreceni út 100.",Nyíradony,4254,AVIA,0,https://holtankoljak.net/AVIA_Nyiradony_Debreceniut100
"1238 Budapest XXIII, Helsinki u. 108-112. (mol)","Budapest XXIII, Helsinki u. 108-112.",Budapest XXIII,1238,mol,0,https://holtankoljak.net/mol_budapest_helsinkiu108-112
"4002 Debrecen, Mikepércsi út I. (kimenő) (mol)","Debrecen, Mikepércsi út I.",Debrecen,4002,mol,0,https://holtankoljak.net/mol_debrecen_mikepercsiutikimeno
"2730 Albertirsa, 4. sz főút 51-52. km (omv)","Albertirsa, 4. sz főút 51-52. km",Albertirsa,2730,omv,0,https://holtankoljak.net/omv_albertirsa_4szfout51-52km
"6782 Mórahalom, Röszkei út 40. (OIL!)","Mórahalom, Röszkei út 40.",Mórahalom,6782,OIL!,0,https://holtankoljak.net/OIL!_Morahalom_Roszkeiut40
"9028 Győr, Régi Veszprémi út 4. (oil)","Győr, Régi Veszprémi út 4.",Győr,9028,oil,0,https://holtankoljak.net/oil_Gyor_RegiVeszpremiut4
"2831 Tarján, Kossuth tér (IKO benzinkút Tarján)","Tarján, Kossuth tér",Tarján,2831,IKO benzinkút Tarján,0,https://holtankoljak.net/IKO_benzinkut_Tarjan_Tarjan_Kossuthter
"1239 Budapest XXIII, Haraszti út 38./b (shell)","Budapest XXIII, Haraszti út 38./b",Budapest XXIII,1239,shell,0,https://holtankoljak.net/shell_budapest_xxiii_harasztiut38b
"1191 Budapest XIX, Citroen utca 2. (Mobil Petrol)","Budapest XIX, Citroen utca 2.",Budapest XIX,1191,Mobil Petrol,0,https://holtankoljak.net/mobil_petrol_budapest_xix_citroenutca2
"9500 Celldömölk, Kolozsvár u. 16. (magan)","Celldömölk, Kolozsvár u. 16.",Celldömölk,9500,magan,0,https://holtankoljak.net/magan_Celldomolk_Kolozsvaru16
"7773 Villány, Virágosi út hrsz.0102.  (mol)","Villány, Virágosi út hrsz.0102.",Villány,7773,mol,0,https://holtankoljak.net/mol_Villany_Viragosiuthrsz0102
"5200 Törökszentmiklós, Kossuth Lajos út 92-94. (mol)","Törökszentmiklós, Kossuth Lajos út 92-94.",Törökszentmiklós,5200,mol,0,https://holtankoljak.net/mol_torokszentmiklos_kossuthlajosut92-94
"3800 Szikszó, Vásár tér/Miskolci u.5. (mol)","Szikszó, Vásár tér/Miskolci u.5.",Szikszó,3800,mol,0,https://holtankoljak.net/mol_Szikszo_VasarterMiskolciu5
"9023 Győr, Ipar út 99. (omv)","Győr, Ipar út 99.",Győr,9023,omv,0,https://holtankoljak.net/omv_Gyor_Iparut99
"6113 Petőfiszállás, M5 ap. 122 km JOBB OLDAL (mobil-petrol)","Petőfiszállás, M5 ap. 122 km JOBB OLDAL",Petőfiszállás,6113,mobil-petrol,1,https://holtankoljak.net/mobil-petrol_Petofiszallas_M5ap122kmJOBBOLDAL
"2330 Dunaharaszti, Némedi u. sarok 51. sz. főút (omv)","Dunaharaszti, Némedi u. sarok 51. sz. főút",Dunaharaszti,2330,omv,0,https://holtankoljak.net/omv_Dunaharaszti_Nemediusarok51szfout
"6050 Lajosmizse, M5, Lajosmizse kelet (shell)","Lajosmizse, M5, Lajosmizse kelet",Lajosmizse,6050,shell,1,https://holtankoljak.net/shell_lajosmizse_m5lajosmizsekelet#tartalom
"4445 Nagycserkesz, Vasvári Pál utca 102/6 (magán)","Nagycserkesz, Vasvári Pál utca 102/6",Nagycserkesz,4445,magán,0,https://holtankoljak.net/agro_cserkesz_kft__nagycserkesz_vasvaripalutca1026
"9221 Levél, 611/28 hrsz. (edo)","Levél, 611/28 hrsz.",Levél,9221,edo,0,https://holtankoljak.net/edo_Level_61128hrsz
"2151 Fót, Keleti Márton út (mol)","Fót, Keleti Márton út",Fót,2151,mol,0,https://holtankoljak.net/mol_Fot_KeletiMartonut
"9200 Mosonmagyaróvár, Szekeres R. u. 19. Hrsz. 537/49 Park Center parkolója (Oranges Oil Company)","Mosonmagyaróvár, Szekeres R. u. 19. Hrsz. 537/49 Park Center parkolója",Mosonmagyaróvár,9200,Oranges Oil Company,0,https://holtankoljak.net/Oranges_Oil_Company_Mosonmagyarovar_SzekeresRu19Hrsz53749ParkCenterparkoloja
"2100 Gödöllő, Dózsa Gy. út 108. (shell)","Gödöllő, Dózsa Gy. út 108.",Gödöllő,2100,shell,0,https://holtankoljak.net/shell_Godollo_DozsaGyut108
"3563 Hernádkak, Széchenyi u. 1/a. (avia)","Hernádkak, Széchenyi u. 1/a.",Hernádkak,3563,avia,0,https://holtankoljak.net/avia_Hernadkak_Szechenyiu1a
"2083 Solymár, Szent Flórián u. 2-4. (auchan)","Solymár, Szent Flórián u. 2-4.",Solymár,2083,auchan,0,https://holtankoljak.net/auchan_solymar_szentflorianu2-4
"1112 Budapest XI, Balatoni út M1/M7 756/17 hrsz (omv)","Budapest XI, Balatoni út M1/M7 756/17 hrsz",Budapest XI,1112,omv,1,https://holtankoljak.net/omv_budapest_xi_balatoniutm1m775617hrsz
"4400 Nyíregyháza, Kert u. 47. (omv)","Nyíregyháza, Kert u. 47.",Nyíregyháza,4400,omv,0,https://holtankoljak.net/omv_Nyiregyhaza_Kertu47
"8719 Böhönye, Szabadság u.  (mol)","Böhönye, Szabadság u.",Böhönye,8719,mol,0,https://holtankoljak.net/mol_Bohonye_Szabadsagu
"8060 Mór, Nemes utca (81-es út)  (mol)","Mór, Nemes utca",Mór,8060,mol,0,https://holtankoljak.net/mol_mor_nemesu24
"8111 Seregélyes, Dinnyési út 29. (magán)","Seregélyes, Dinnyési út 29.",Seregélyes,8111,magán,0,https://holtankoljak.net/unio_sped_2004_kft__seregelyes_dinnyesiut29
"3903 Bekecs, Honvéd utca 228. (Buffalo Petrol)","Bekecs, Honvéd utca 228.",Bekecs,3903,Buffalo Petrol,0,https://holtankoljak.net/Buffalo_Petrol_Bekecs_Honvedutca228
"2151 Fót, Fehérkő u. 1. (auchan)","Fót, Fehérkő u. 1.",Fót,2151,auchan,0,https://holtankoljak.net/auchan_Fot_Feherkou1
"8640 Fonyód, József Attila u. (Bélatelep)  (mol)","Fonyód, József Attila u.",Fonyód,8640,mol,0,https://holtankoljak.net/mol_fonyod_jozsefattilaubelatelep#tartalom
"1143 Budapest XIV, Hungária krt.83-85. (XIV.) (mol)","Budapest XIV, Hungária krt.83-85.",Budapest XIV,1143,mol,0,https://holtankoljak.net/mol_budapest_hungariakrt83-85xiv
"5126 Jászfényszaru, Külterület 05/150 hrsz. (avia)","Jászfényszaru, Külterület 05/150 hrsz.",Jászfényszaru,5126,avia,0,https://holtankoljak.net/avia_Jaszfenyszaru_Kulterulet05150hrsz
"3200 Gyöngyös, Alkotmány út 19. (mol)","Gyöngyös, Alkotmány út 19.",Gyöngyös,3200,mol,0,https://holtankoljak.net/mol_Gyongyos_Alkotmanyut19
"6782 Mórahalom, Szegedi út (galantai_bt)","Mórahalom, Szegedi út",Mórahalom,6782,galantai_bt,0,https://holtankoljak.net/galantai_bt_Morahalom_Szegediut
"8400 Ajka, Petőfi u. (omv)","Ajka, Petőfi u.",Ajka,8400,omv,0,https://holtankoljak.net/omv_Ajka_Petofiu
"8868 Letenye, Bajcsy-Zsilinszki Endre u. 38 (mol)","Letenye, Bajcsy-Zsilinszki Endre u. 38",Letenye,8868,mol,0,https://holtankoljak.net/mol_letenye_bajcsy-zsilinszkiendreu38#tartalom
"6235 Bócsa, III. körzet 1. (mol)","Bócsa, III. körzet 1.",Bócsa,6235,mol,0,https://holtankoljak.net/mol_Bocsa_IIIkorzet1
"1173 Budapest XVII, Pesti út 6. (shell)","Budapest XVII, Pesti út 6.",Budapest XVII,1173,shell,0,https://holtankoljak.net/shell_budapest_xvii_pestiut6
"5000 Szolnok, Abonyi út (mol)","Szolnok, Abonyi út",Szolnok,5000,mol,0,https://holtankoljak.net/mol_Szolnok_Abonyiut
"9970 Szentgotthárd, 8 - as út (mol)","Szentgotthárd, 8 - as út",Szentgotthárd,9970,mol,0,https://holtankoljak.net/mol_szentgotthard_8-asut
"6723 Szeged, Etelka sor 13. (hungaria_petrol_kft.)","Szeged, Etelka sor 13.",Szeged,6723,hungaria_petrol_kft.,0,https://holtankoljak.net/hungaria_petrol_kft._Szeged_Etelkasor13
"2330 Dunaharaszti, Fő út 220. 510.-es főút (mol)","Dunaharaszti, Fő út 220. 510.-es főút",Dunaharaszti,2330,mol,0,https://holtankoljak.net/mol_dunaharaszti_fout220510-esfout#tartalom
"6727 Szeged, Algyői út (lukoil)","Szeged, Algyői út",Szeged,6727,lukoil,0,https://holtankoljak.net/lukoil_Szeged_Algyoiut
"1117 Budapest XI, Irinyi u.45. (XI.) (mol)","Budapest XI, Irinyi u.45.",Budapest XI,1117,mol,0,https://holtankoljak.net/mol_budapest_irinyiu45xi
"5600 Békéscsaba, Szarvasi út 103. (omv)","Békéscsaba, Szarvasi út 103.",Békéscsaba,5600,omv,0,https://holtankoljak.net/omv_Bekescsaba_Szarvasiut103
"9800 Vasvár, Dr.Tretter László u.52.  (mol)","Vasvár, Dr.Tretter László u.52.",Vasvár,9800,mol,0,https://holtankoljak.net/mol_Vasvar_DrTretterLaszlou52
"8500 Pápa, Celli út 92. (shell)","Pápa, Celli út 92.",Pápa,8500,shell,0,https://holtankoljak.net/shell_Papa_Celliut92
"3360 Heves, Egri út 038/5 hrsz. (magán)","Heves, Egri út 038/5 hrsz.",Heves,3360,magán,0,https://holtankoljak.net/toserne_leho_agnes_e_v__heves_egriut0385hrsz
"2800 Tatabánya, Ságvári út - Károlyi Mihály u. 2. (omv)","Tatabánya, Ságvári út - Károlyi Mihály u. 2.",Tatabánya,2800,omv,0,https://holtankoljak.net/omv_tatabanya_sagvariut-karolyimihalyu2
"4326 Máriapócs, Pócsi sarok  (mol)","Máriapócs, Pócsi sarok",Máriapócs,4326,mol,0,https://holtankoljak.net/mol_Mariapocs_Pocsisarok
"9900 Körmend, Sport utca 5. (TESCO) (Conoil)","Körmend, Sport utca 5.",Körmend,9900,Conoil,0,https://holtankoljak.net/concordia_trans_kft__kormend_sportutca5tesco
"4087 Hajdúdorog, Böszörményi út 85. (mol)","Hajdúdorog, Böszörményi út 85.",Hajdúdorog,4087,mol,0,https://holtankoljak.net/mol_Hajdudorog_Boszormenyiut85
"6300 Kalocsa, Bátyai út 8-10. (shell)","Kalocsa, Bátyai út 8-10.",Kalocsa,6300,shell,0,https://holtankoljak.net/shell_kalocsa_batyaiut8-10#tartalom
"4561 Baktalórántháza, Vasút u. 80. (ORI benzinkút)","Baktalórántháza, Vasút u. 80.",Baktalórántháza,4561,ORI benzinkút,0,https://holtankoljak.net/ORI_benzinkut_Baktaloranthaza_Vasutu80
"7300 Komló, Feketegyémánt tér  (mol)","Komló, Feketegyémánt tér",Komló,7300,mol,0,https://holtankoljak.net/mol_Komlo_Feketegyemantter
"8220 Balatonalmádi, Fűzfői út 5. (71-es út)  (mol)","Balatonalmádi, Fűzfői út 5.",Balatonalmádi,8220,mol,0,https://holtankoljak.net/mol_balatonalmadi_fuzfoiut571-esut
"8654 Ságvár, 65-ös főút (mol)","Ságvár, 65-ös főút",Ságvár,8654,mol,0,https://holtankoljak.net/mol_sagvar_65-osfout
"7100 Szekszárd, Tartsay út 8. (omv)","Szekszárd, Tartsay út 8.",Szekszárd,7100,omv,0,https://holtankoljak.net/omv_Szekszard_Tartsayut8
"7000 Sárbogárd, Ady Endre u. 3. (omv)","Sárbogárd, Ady Endre u. 3.",Sárbogárd,7000,omv,0,https://holtankoljak.net/omv_Sarbogard_AdyEndreu3
"3400 Mezőkövesd, 3/1 hrsz. Egri út (Hunpetrol)","Mezőkövesd, 3/1 hrsz. Egri út",Mezőkövesd,3400,Hunpetrol,0,https://holtankoljak.net/Hunpetrol_Mezokovesd_31hrszEgriut
"9000 Győr, Királyszéki u. 33. (shell)","Győr, Királyszéki u. 33.",Győr,9000,shell,0,https://holtankoljak.net/shell_Gyor_Kiralyszekiu33
"3600 Ózd, Brassói út 3. (shell)","Ózd, Brassói út 3.",Ózd,3600,shell,0,https://holtankoljak.net/shell_ozd_brassoiut3
"8638 Balatonlelle, M7 I. (kimenő) (mol)","Balatonlelle, M7 I.",Balatonlelle,8638,mol,1,https://holtankoljak.net/mol_balatonlelle_m7ikimeno
"4900 Fehérgyarmat, Alkotmány út 31. (mol)","Fehérgyarmat, Alkotmány út 31.",Fehérgyarmat,4900,mol,0,https://holtankoljak.net/mol_Fehergyarmat_Alkotmanyut31
"1185 Budapest XVIII, Üllői út 661. (XVIII.) (mol)","Budapest XVIII, Üllői út 661.",Budapest XVIII,1185,mol,0,https://holtankoljak.net/mol_budapest_ulloiut661xviii#tartalom
"6500 Baja, Gránátos u. 11. (lamarin_kft_)","Baja, Gránátos u. 11.",Baja,6500,lamarin_kft_,0,https://holtankoljak.net/lamarin_kft__Baja_Granatosu11
"4110 Biharkeresztes, 42. sz. fkl. út (mol)","Biharkeresztes, 42. sz. fkl. út",Biharkeresztes,4110,mol,0,https://holtankoljak.net/mol_Biharkeresztes_42szfklut
"3200 Gyöngyös, Vásár u. 2. (shell)","Gyöngyös, Vásár u. 2.",Gyöngyös,3200,shell,0,https://holtankoljak.net/shell_Gyongyos_Vasaru2
"3300 Eger, Rákóczi út 95. (shell)","Eger, Rákóczi út 95.",Eger,3300,shell,0,https://holtankoljak.net/shell_Eger_Rakocziut95
"9631 Hegyfalu, 84/86-os főutak kereszteződése (omv)","Hegyfalu, 84/86-os főutak kereszteződése",Hegyfalu,9631,omv,0,https://holtankoljak.net/omv_hegyfalu_8486-osfoutakkeresztezodese#tartalom
"3200 Gyöngyös, Karácsondi út 9. (OIL!)","Gyöngyös, Karácsondi út 9.",Gyöngyös,3200,OIL!,0,https://holtankoljak.net/OIL!_Gyongyos_Karacsondiut9
"9000 Győr, Pápai út 771. (omv)","Győr, Pápai út 771.",Győr,9000,omv,0,https://holtankoljak.net/omv_Gyor_Papaiut771
"4002 Debrecen, Segner tér, Nyugati u. 6. (mol)","Debrecen, Segner tér, Nyugati u. 6.",Debrecen,4002,mol,0,https://holtankoljak.net/mol_debrecen_segnerternyugatiu6
"9330 Kapuvár, Szent Katalin út 45. (magan)","Kapuvár, Szent Katalin út 45.",Kapuvár,9330,magan,0,https://holtankoljak.net/tank_ol_kft__kapuvar_szentkatalinut45
"2120 Dunakeszi, Fő út 5152 hrsz. (lukoil)","Dunakeszi, Fő út 5152 hrsz.",Dunakeszi,2120,lukoil,0,https://holtankoljak.net/lukoil_Dunakeszi_Fout5152hrsz
"5900 Orosháza, Kettőssánc tér (mol)","Orosháza, Kettőssánc tér",Orosháza,5900,mol,0,https://holtankoljak.net/mol_Oroshaza_Kettossancter
"3441 Mezőkeresztes, Külterület 0259/2 hrsz. (magán)","Mezőkeresztes, Külterület 0259/2 hrsz.",Mezőkeresztes,3441,magán,0,https://holtankoljak.net/ferpetrol_kft__mezokeresztes_kulterulet02592hrsz
"2700 Cegléd, Jászberényi u. 0825/30 (omv)","Cegléd, Jászberényi u. 0825/30",Cegléd,2700,omv,0,https://holtankoljak.net/omv_Cegled_Jaszberenyiu082530
"2120 Dunakeszi, 2-es sz. főút 21. km (mol)","Dunakeszi, 2-es sz. főút 21. km",Dunakeszi,2120,mol,0,https://holtankoljak.net/mol_dunakeszi_2-esszfout21km
"2310 Szigetszentmiklós, M0 Szigetszentmiklós (shell)","Szigetszentmiklós, M0 Szigetszentmiklós",Szigetszentmiklós,2310,shell,1,https://holtankoljak.net/shell_Szigetszentmiklos_M0Szigetszentmiklos
"6200 Kiskőrös, Dózsa György út 47. (omv)","Kiskőrös, Dózsa György út 47.",Kiskőrös,6200,omv,0,https://holtankoljak.net/omv_Kiskoros_DozsaGyorgyut47
"9151 Abda, Bécsi út 186. (lukoil)","Abda, Bécsi út 186.",Abda,9151,lukoil,0,https://holtankoljak.net/lukoil_Abda_Becsiut186
"1138 Budapest XIII, Népfürdő u. 14. (shell)","Budapest XIII, Népfürdő u. 14.",Budapest XIII,1138,shell,0,https://holtankoljak.net/shell_budapest_xiii_nepfurdou14
"2310 Szigetszentmiklós, Petőfi Sándor utca 139 (mol)","Szigetszentmiklós, Petőfi Sándor utca 139",Szigetszentmiklós,2310,mol,0,https://holtankoljak.net/mol_Szigetszentmiklos_PetofiSandorutca139
"9330 Kapuvár, Petőfi major (omv)","Kapuvár, Petőfi major",Kapuvár,9330,omv,0,https://holtankoljak.net/omv_Kapuvar_Petofimajor
"6400 Kiskunhalas, Tinódi utca 21. (avia)","Kiskunhalas, Tinódi utca 21.",Kiskunhalas,6400,avia,0,https://holtankoljak.net/avia_Kiskunhalas_Tinodiutca21
"6763 Szatymaz, M5 autópálya 151 km jobb oldal (mol)","Szatymaz, M5 autópálya 151 km jobb oldal",Szatymaz,6763,mol,1,https://holtankoljak.net/mol_Szatymaz_M5autopalya151kmjobboldal
"5561 Békésszentandrás, 44-es út 68. km. (lukoil)","Békésszentandrás, 44-es út 68. km.",Békésszentandrás,5561,lukoil,0,https://holtankoljak.net/lukoil_bekesszentandras_44-esut68km
"2660 Balassagyarmat, Kővári út  (mol)","Balassagyarmat, Kővári út",Balassagyarmat,2660,mol,0,https://holtankoljak.net/mol_Balassagyarmat_Kovariut
"2030 Érd, Szent László tér 6. (avia)","Érd, Szent László tér 6.",Érd,2030,avia,0,https://holtankoljak.net/avia_erd_SzentLaszloter6
"5435 Martfű, Földvári út 4. (mol)","Martfű, Földvári út 4.",Martfű,5435,mol,0,https://holtankoljak.net/mol_Martfu_Foldvariut4
"2890 Tata, Agostyáni út 78. Volán kút (Volántours kft)","Tata, Agostyáni út 78. Volán kút",Tata,2890,Volántours kft,0,https://holtankoljak.net/Volantours_kft_Tata_Agostyaniut78Volankut
"2117 Isaszeg, Rákóczi u. hrsz. 455 (mol)","Isaszeg, Rákóczi u. hrsz. 455",Isaszeg,2117,mol,0,https://holtankoljak.net/mol_Isaszeg_Rakocziuhrsz455
"5100 Jászberény, Szolnoki u. (mol)","Jászberény, Szolnoki u.",Jászberény,5100,mol,0,https://holtankoljak.net/mol_Jaszbereny_Szolnokiu
"6900 Makó, Kossuth Lajos u. 5. (omv)","Makó, Kossuth Lajos u. 5.",Makó,6900,omv,0,https://holtankoljak.net/omv_Mako_KossuthLajosu5
"6791 Szeged, Dorozsmai út 100. (edo)","Szeged, Dorozsmai út 100.",Szeged,6791,edo,0,https://holtankoljak.net/edo_Szeged_Dorozsmaiut100
"2030 Érd, Budafoki utca 2-4. (shell)","Érd, Budafoki utca 2-4.",Érd,2030,shell,0,https://holtankoljak.net/shell_erd_budafokiutca2-4#tartalom
"7400 Kaposvár, Füredi út (5374/22 hrsz.) (omv)","Kaposvár, Füredi út",Kaposvár,7400,omv,0,https://holtankoljak.net/omv_kaposvar_furediut537422hrsz#tartalom
"3078 Bátonyterenye, 21.sz. fkl. út (mol)","Bátonyterenye, 21.sz. fkl. út",Bátonyterenye,3078,mol,0,https://holtankoljak.net/mol_Batonyterenye_21szfklut
"1016 Budapest I, Mészáros u. 19. (mol)","Budapest I, Mészáros u. 19.",Budapest I,1016,mol,0,https://holtankoljak.net/mol_Budapest_Meszarosu19
"6400 Kiskunhalas, Vadkerti út 1037/4 (MOL partner +)","Kiskunhalas, Vadkerti út 1037/4",Kiskunhalas,6400,MOL partner +,0,https://holtankoljak.net/MOL_partner_+_Kiskunhalas_Vadkertiut10374
"7900 Szigetvár, József Attila u. (shell)","Szigetvár, József Attila u.",Szigetvár,7900,shell,0,https://holtankoljak.net/shell_Szigetvar_JozsefAttilau
"3200 Gyöngyös, Budapesti út 3. számú főút (mobil-petrol)","Gyöngyös, Budapesti út 3. számú főút",Gyöngyös,3200,mobil-petrol,0,https://holtankoljak.net/mobil-petrol_Gyongyos_Budapestiut3szamufout
