City_for_merge,lakasallomany,Kiskereskedelmiuzletek,munkanelkuliek1564,jarandosag,szjakepezojovegylakos,kulfoldreingazok,ivoviz,foglalkoztatottak1564,ezerlakosadozo,szemelygepkocsiezerlakos,gazdasagszam,ingazasikulonbozet,szjaalapperfo,helybenfoglalkoztatottak
Úrhida,349,30.0,7.5,15.9,2416,0.2,101.4,62.2,556,483.2,101.0,4.0,4342,20.3
Székesfehérvár,486,151.0,6.7,27.7,2420,1.4,99.8,62.9,532,473.0,358.0,0.0,4551,39.4
Soponya,399,88.0,9.7,24.4,1808,,92.8,57.5,530,416.1,100.0,3.0,3410,32.5
Sárszentmihály,380,67.0,8.6,22.2,2133,0.4,100.3,62.6,555,744.7,63.0,2.0,3845,40.9
Káloz,394,75.0,7.5,22.8,1859,,98.8,56.2,542,379.7,147.0,4.0,3430,9.6
Nádasdladány,360,74.0,11.8,20.5,1960,0.9,95.1,55.7,558,375.6,46.0,7.0,3510,20.8
Jenő,408,46.0,9.1,20.8,1950,,100.4,53.7,537,370.2,135.0,12.0,3630,13.4
Sárosd,354,65.0,8.5,22.8,1804,0.1,96.3,53.7,520,363.5,66.0,3.0,3472,14.9
Sárkeszi,354,65.0,8.4,23.6,1801,,100.0,54.9,570,380.5,21.0,16.0,3161,23.4
Lovasberény,439,69.0,6.9,24.7,1955,,100.2,61.9,566,443.1,116.0,2.0,3451,22.0
Szabadbattyán,368,62.0,8.8,23.9,2093,0.2,91.7,57.8,538,484.2,75.0,1.0,3893,49.3
Bakonykúti,476,,2.2,20.7,2193,,91.0,66.3,526,402.4,8.0,37.0,4169,29.6
Aba,352,72.0,6.7,19.8,1908,,100.3,58.4,568,386.8,133.0,1.0,3359,17.6
Moha,414,17.0,8.7,20.5,2189,0.5,81.7,62.8,563,470.3,13.0,10.0,3891,53.1
Szálka,468,54.0,5.1,29.7,2037,0.6,98.4,54.6,463,501.8,10.0,11.0,4401,36.0
Bátaszék,423,143.0,6.7,30.1,1558,0.9,98.8,58.3,466,404.3,190.0,1.0,3342,19.4
Alsónyék,443,103.0,10.9,26.1,1288,,90.4,51.4,477,391.5,61.0,14.0,2702,12.3
Szedres,404,66.0,7.1,31.3,1479,0.2,93.0,55.5,487,403.2,91.0,3.0,3038,21.0
Sárpilis,363,52.0,21.0,21.9,973,0.9,87.6,40.1,393,312.5,33.0,10.0,2477,42.0
Harc,416,112.0,7.6,27.8,1610,,97.6,57.6,516,459.6,31.0,8.0,3120,16.8
Báta,528,110.0,10.1,30.2,1154,,93.0,44.3,453,391.1,119.0,3.0,2547,5.7
Pörböly,452,94.0,7.9,28.5,1358,1.0,92.9,55.0,462,365.9,20.0,7.0,2937,34.2
Sióagárd,457,77.0,5.5,31.1,1784,,99.1,59.3,510,514.9,122.0,5.0,3497,22.5
Decs,400,53.0,10.7,30.8,1158,0.1,85.8,50.7,426,345.9,148.0,2.0,2716,18.5
Alsónána,418,74.0,8.7,28.3,1207,0.5,100.0,51.4,432,391.7,24.0,13.0,2792,26.3
Várdomb,413,56.0,7.0,28.3,1644,0.6,98.9,58.5,485,471.5,19.0,5.0,3391,43.3
Kölesd,432,127.0,6.0,27.0,1320,,93.3,53.5,466,416.0,56.0,4.0,2832,15.3
Őcsény,420,93.0,8.5,28.1,1615,0.4,91.5,58.1,512,436.8,102.0,3.0,3157,19.8
Medina,456,96.0,9.1,25.1,1281,,79.3,54.5,478,402.7,57.0,4.0,2679,53.4
Kistormás,473,152.0,2.6,32.2,1227,,93.6,57.5,456,386.4,11.0,14.0,2689,45.8
Szekszárd,507,220.0,6.2,32.5,2059,2.4,90.8,59.0,494,463.6,696.0,0.0,4169,40.3
Leányfalu,362,84.0,6.5,20.7,2348,0.5,101.5,60.1,494,464.2,12.0,1.0,4752,44.0
Pócsmegyer,333,22.0,8.7,17.7,1704,0.2,98.2,57.2,498,466.6,26.0,5.0,3422,15.0
Pomáz,378,68.0,6.8,22.6,2205,0.3,87.8,60.0,508,428.4,53.0,0.0,4338,28.1
Tahitótfalu,357,85.0,6.3,23.6,1819,0.2,101.0,60.5,523,494.5,86.0,1.0,3477,20.8
Budakalász,369,104.0,6.4,22.2,2562,0.5,91.4,60.8,504,422.9,23.0,0.0,5086,40.6
Szigetmonostor,354,59.0,8.1,21.2,1751,0.3,98.8,58.4,504,506.6,19.0,3.0,3478,21.5
Csobánka,325,25.0,8.7,18.8,2268,,101.7,58.8,491,399.2,10.0,2.0,4615,21.4
Szentendre,398,126.0,5.9,23.0,2501,0.4,101.2,61.6,499,474.4,53.0,0.0,5016,29.9
Kisoroszi,459,71.0,6.5,23.2,1563,,99.3,57.1,481,460.5,9.0,8.0,3252,12.3
Dunabogdány,396,81.0,7.1,25.3,1781,0.5,99.3,59.2,494,430.3,32.0,2.0,3607,25.0
Visegrád,422,175.0,5.8,27.9,1682,0.4,90.3,60.1,469,421.5,4.0,1.0,3585,42.3
Pilisszentkereszt,391,55.0,5.9,21.4,2083,0.1,93.1,60.8,535,445.4,9.0,3.0,3893,14.9
Pilisszentlászló,375,31.0,8.6,16.8,1622,,87.5,53.6,483,412.3,6.0,8.0,3356,20.0
Nagytőke,715,96.0,4.0,34.9,1568,,61.0,54.2,582,496.8,75.0,20.0,2692,22.0
Árpádhalom,545,68.0,9.0,30.3,1487,,81.3,53.4,539,420.8,100.0,11.0,2759,20.9
Fábiánsebestyén,482,91.0,7.5,30.7,1589,0.3,92.3,58.7,556,386.0,162.0,2.0,2856,9.7
Nagymágocs,440,100.0,6.7,31.3,1319,0.4,93.5,55.4,475,314.5,181.0,2.0,2774,8.8
Derekegyház,464,75.0,6.5,26.9,1506,,89.6,54.2,525,365.6,152.0,3.0,2870,23.7
Szentes,491,172.0,6.6,30.4,1730,0.6,97.1,58.1,536,397.4,851.0,0.0,3229,21.7
Szegvár,522,112.0,7.8,29.4,1601,,92.2,55.8,539,382.2,308.0,1.0,2974,12.1
Eperjes,706,96.0,6.7,35.2,1432,,77.1,51.3,562,390.4,102.0,9.0,2546,17.9
Apátistvánfalva,424,25.0,6.4,27.9,1603,9.9,100.6,56.4,489,423.9,35.0,20.0,3277,43.1
Alsószölnök,499,30.0,5.1,21.8,1233,37.2,98.8,62.0,450,513.4,30.0,15.0,2742,32.3
Orfalu,419,135.0,9.1,28.4,1168,28.6,100.0,43.2,559,540.5,17.0,200.0,2091,20.0
Magyarlak,382,62.0,8.5,24.6,1430,12.4,100.3,62.8,470,464.1,32.0,16.0,3041,39.7
Csörötnek,376,23.0,8.1,21.7,1443,7.0,99.7,52.6,499,396.8,37.0,12.0,2888,24.4
Felsőszölnök,510,52.0,6.7,25.5,1482,17.9,99.7,54.1,470,432.8,82.0,15.0,3154,22.7
Szentgotthárd,407,183.0,4.7,29.1,1520,56.5,99.0,58.6,463,436.2,183.0,0.0,3284,39.9
Rátót,450,44.0,3.0,25.8,1567,10.0,100.0,66.5,484,445.4,5.0,23.0,3237,52.3
Nemesmedves,583,,,20.8,911,66.7,100.0,61.5,483,625.0,3.0,333.0,1887,33.3
Kondorfa,564,38.0,7.5,32.1,1190,7.4,100.0,55.0,445,398.1,23.0,24.0,2677,21.4
Szakonyfalu,389,28.0,6.2,19.6,1312,22.0,100.0,57.0,505,463.1,25.0,27.0,2595,24.3
Rábagyarmat,374,64.0,3.3,26.6,1600,13.3,100.0,61.2,513,427.5,38.0,12.0,3119,4.8
Vasszentmihály,481,57.0,8.5,25.9,1622,10.0,97.6,54.3,538,515.7,10.0,29.0,3018,34.3
Gasztony,494,23.0,4.4,20.9,1646,9.3,99.5,58.2,497,489.6,11.0,32.0,3314,9.7
Rönök,481,87.0,5.7,29.2,1131,17.7,97.0,55.2,487,524.8,8.0,7.0,2322,58.2
Kétvölgy,852,123.0,7.8,38.3,1408,5.9,98.6,48.4,468,456.8,24.0,,3008,
Zók,405,36.0,9.4,23.3,1405,,99.1,47.4,517,351.3,9.0,56.0,2717,22.2
Szentdénes,472,71.0,19.6,27.7,1047,,88.7,45.2,473,368.8,24.0,24.0,2214,14.6
Királyegyháza,370,59.0,11.0,26.1,1166,,93.3,45.4,492,382.1,60.0,3.0,2369,55.1
Szabadszentkirály,394,68.0,14.1,32.8,1286,,94.9,50.3,490,432.2,40.0,4.0,2624,47.9
Csonkamindszent,389,64.0,15.0,19.7,1230,,100.0,49.6,470,420.4,14.0,100.0,2616,20.0
Szentkatalin,869,,12.7,23.8,672,,98.6,38.1,427,642.9,10.0,83.0,1573,8.3
Szentlőrinc,427,112.0,8.2,28.9,1645,0.3,93.9,56.8,512,414.9,127.0,1.0,3214,27.5
Bükkösd,423,68.0,13.9,24.6,1182,,87.7,45.0,447,408.9,44.0,5.0,2645,27.8
Velény,561,93.0,20.8,27.1,669,,76.7,29.7,434,280.4,17.0,91.0,1543,9.1
Dinnyeberki,825,159.0,11.9,27.0,542,,78.8,20.9,390,539.7,2.0,143.0,1392,14.3
Kacsóta,421,162.0,2.9,35.6,1059,,83.7,44.8,446,457.5,19.0,6.0,2374,79.4
Bicsérd,370,90.0,10.4,23.5,1649,0.4,100.3,52.0,489,424.2,47.0,4.0,3371,37.8
Hetvehely,356,66.0,9.2,23.7,1199,1.2,98.1,48.8,481,378.0,13.0,10.0,2492,27.1
Boda,468,27.0,11.4,27.0,1566,0.9,100.0,55.0,497,464.9,28.0,19.0,3154,13.0
Gerde,407,42.0,8.1,22.2,948,,88.1,39.2,443,350.1,31.0,16.0,2139,25.8
Sumony,416,50.0,11.9,20.5,775,1.7,85.1,30.2,405,227.7,22.0,27.0,1912,29.7
Pécsbagota,458,208.0,12.2,29.2,1061,,79.5,32.4,455,468.8,14.0,143.0,2329,14.3
Gyöngyfa,406,,36.2,16.4,614,,86.5,19.1,392,226.6,16.0,125.0,1567,12.5
Okorvölgy,487,,19.7,21.1,611,,100.0,24.6,358,368.4,5.0,167.0,1706,16.7
Cserdi,395,26.0,2.7,17.4,934,,48.7,36.2,469,231.2,6.0,20.0,1993,3.9
Helesfa,269,40.0,11.1,37.4,735,,90.4,41.7,344,199.6,11.0,5.0,2138,47.6
Monok,530,60.0,15.0,24.9,1096,,82.5,42.4,447,284.4,59.0,5.0,2454,11.2
Alsódobsza,545,36.0,8.1,28.2,1729,,91.4,51.8,505,371.8,13.0,26.0,3422,23.7
Golop,525,36.0,3.7,26.8,1292,,95.5,56.0,473,377.0,37.0,11.0,2734,11.5
Taktaharkány,366,47.0,12.9,22.2,1244,0.2,87.7,44.3,474,274.6,71.0,2.0,2625,21.6
Prügy,351,127.0,13.4,17.0,859,,91.1,36.9,454,273.3,96.0,3.0,1894,13.3
Megyaszó,337,70.0,11.9,19.1,1095,,81.0,45.3,439,277.5,96.0,2.0,2493,19.9
Bekecs,414,103.0,10.6,21.8,1773,0.1,96.5,57.1,554,457.8,78.0,2.0,3202,35.1
Tiszalúc,394,68.0,14.7,21.5,1217,,90.0,45.1,448,287.9,56.0,1.0,2717,11.8
Legyesbénye,461,66.0,13.8,22.8,1284,0.3,87.9,48.4,491,333.8,62.0,5.0,2613,20.6
Rátka,442,73.0,11.1,30.5,1461,0.5,94.6,53.1,484,426.8,78.0,6.0,3018,17.4
Taktaszada,372,56.0,11.9,18.3,843,1.0,77.0,38.6,424,261.4,47.0,6.0,1987,15.3
Taktakenéz,365,70.0,16.0,14.6,611,,85.4,27.7,411,217.7,44.0,7.0,1484,13.6
Szerencs,455,237.0,7.8,31.0,1730,0.3,100.0,56.4,501,425.9,234.0,0.0,3454,45.4
Mezőzombor,376,52.0,10.5,20.1,931,,75.6,42.6,467,294.4,80.0,3.0,1995,26.7
Tállya,594,131.0,16.2,27.5,1286,,89.1,46.2,466,389.9,180.0,2.0,2763,24.4
Mád,574,146.0,9.6,27.8,1600,0.7,86.3,51.3,527,486.2,269.0,1.0,3036,23.0
Szigethalom,348,68.0,8.6,20.3,1894,0.4,91.0,59.5,516,438.3,33.0,0.0,3671,32.2
Délegyháza,324,28.0,9.4,13.7,2112,0.5,104.6,56.2,525,388.2,54.0,3.0,4023,12.5
Taksony,366,97.0,6.7,22.3,2147,0.5,103.7,59.8,534,472.2,33.0,1.0,4018,40.6
Dunaharaszti,371,111.0,7.3,19.1,2350,0.2,97.8,62.0,518,463.2,86.0,0.0,4539,42.6
Dunavarsány,376,103.0,7.6,19.7,2069,0.2,99.8,60.6,526,449.9,44.0,1.0,3930,52.2
Tököl,399,90.0,6.5,21.6,2070,0.3,101.7,59.3,533,446.4,91.0,0.0,3882,36.5
Halásztelek,360,58.0,6.8,19.5,2245,0.1,102.9,60.9,521,484.6,33.0,1.0,4308,37.3
Szigetszentmiklós,386,111.0,7.4,18.4,2199,0.4,98.8,63.3,523,445.7,118.0,0.0,4201,39.6
Majosháza,379,64.0,7.5,22.7,1797,0.6,101.2,53.5,511,465.6,30.0,3.0,3514,44.7
Szulimán,500,42.0,12.9,26.7,957,,98.3,43.9,417,444.9,10.0,53.0,2295,10.5
Nagyváty,434,34.0,12.7,23.9,1042,,89.9,42.4,495,397.3,18.0,30.0,2104,12.1
Molvány,430,54.0,7.7,25.8,1572,,86.3,54.2,564,446.2,29.0,53.0,2789,5.3
Somogyviszló,509,,5.4,22.5,750,,94.7,41.3,463,310.8,18.0,31.0,1621,12.5
Bánfa,410,51.0,10.0,19.5,569,,92.5,41.7,367,210.3,11.0,71.0,1550,7.1
Kétújfalu,391,90.0,8.8,27.5,1201,1.5,98.5,48.4,543,393.7,33.0,7.0,2210,29.9
Pettend,305,,5.0,18.3,532,,92.0,26.3,364,219.5,7.0,67.0,1462,6.7
Katádfa,488,83.0,10.4,19.8,946,,98.3,34.0,493,231.4,6.0,,1918,
Almamellék,396,77.0,16.3,21.6,842,,100.0,43.1,425,449.9,37.0,10.0,1981,24.2
Almáskeresztúr,554,217.0,28.3,23.9,746,,98.0,41.5,440,337.0,9.0,71.0,1694,28.6
Somogyhárságy,606,144.0,10.8,30.7,1074,,99.5,48.1,422,491.4,37.0,14.0,2547,16.4
Kisdobsza,420,82.0,11.0,20.4,1001,10.7,98.1,56.1,461,424.5,19.0,23.0,2170,11.6
Somogyhatvan,391,29.0,11.9,22.1,772,1.9,100.0,40.5,452,308.8,16.0,19.0,1708,13.0
Kistamási,404,92.0,18.6,18.3,974,,97.7,25.6,518,431.2,8.0,100.0,1881,10.0
Csertő,449,27.0,8.8,24.2,1165,,96.4,47.4,457,425.5,18.0,18.0,2550,8.8
Nyugotszenterzsébet,400,45.0,20.6,17.7,700,,100.0,38.9,411,390.9,18.0,32.0,1705,6.5
Botykapeterd,398,31.0,10.2,22.8,1141,,93.0,43.1,463,419.8,32.0,14.0,2465,52.2
Merenye,548,137.0,17.4,24.2,710,,100.0,37.9,435,388.1,20.0,22.0,1633,26.1
Basal,475,,8.6,24.7,1153,,92.3,54.7,468,432.1,14.0,59.0,2466,11.8
Gyöngyösmellék,387,39.0,17.7,18.4,853,,100.0,37.4,476,261.7,18.0,37.0,1792,3.7
Csebény,530,,10.6,25.3,668,,100.0,33.3,438,506.0,6.0,,1525,
Ibafa,497,107.0,9.7,21.9,751,,93.5,34.2,383,443.9,32.0,31.0,1960,3.1
Patapoklosi,442,,13.9,29.0,634,,94.1,36.6,423,405.2,20.0,31.0,1497,3.1
Mozsgó,339,20.0,10.4,22.7,1250,,82.2,47.5,509,376.4,38.0,4.0,2458,26.1
Rózsafa,448,63.0,12.4,25.7,811,,91.5,43.4,427,323.8,25.0,16.0,1897,36.5
Endrőc,384,87.0,10.5,27.6,980,,100.0,41.8,518,261.6,28.0,,1894,
Somogyapáti,431,21.0,10.3,23.6,1050,1.3,100.0,44.1,426,371.5,31.0,9.0,2467,41.4
Nagypeterd,346,76.0,7.7,26.6,1544,1.1,90.8,53.5,547,391.2,40.0,7.0,2822,45.8
Bürüs,951,,8.5,29.3,855,,89.7,55.3,486,634.1,11.0,,1758,
Szentlászló,411,114.0,11.0,27.3,1274,,95.2,50.1,492,477.3,41.0,6.0,2589,18.3
Várad,378,79.0,10.7,26.0,853,,97.9,27.4,538,291.3,10.0,,1586,
Horváthertelend,614,,14.6,20.5,505,,100.0,41.7,410,545.5,6.0,100.0,1233,10.0
Nemeske,543,51.0,11.8,29.9,1283,,98.1,37.9,551,416.2,19.0,13.0,2330,63.8
Szentegát,505,92.0,10.8,24.9,1005,,100.0,42.6,468,323.1,12.0,20.0,2149,22.4
Boldogasszonyfa,579,110.0,13.1,27.0,875,,100.0,43.9,386,352.6,33.0,15.0,2268,27.3
Teklafalu,444,135.0,11.2,23.9,816,,95.5,47.4,382,299.7,23.0,20.0,2137,14.3
Szörény,420,,4.9,17.3,1074,,82.4,48.8,607,333.3,5.0,91.0,1769,18.2
Szigetvár,446,193.0,8.2,31.2,1579,0.5,71.3,59.8,501,396.8,169.0,0.0,3149,32.0
Magyarlukafa,551,112.0,12.7,23.6,486,,100.0,30.9,333,370.8,4.0,100.0,1457,10.0
Dencsháza,404,19.0,5.1,26.8,1134,0.7,95.7,49.4,473,339.1,40.0,9.0,2399,33.0
Zádor,466,69.0,4.4,27.9,876,,95.6,43.4,469,300.0,25.0,18.0,1870,10.7
Vásárosbéc,548,179.0,7.0,17.3,899,,96.7,30.4,414,535.7,22.0,,2172,
Hobol,365,42.0,10.2,21.8,1372,0.4,100.3,56.8,538,432.0,26.0,7.0,2548,16.9
Tótszentgyörgy,544,160.0,9.5,28.0,884,,89.7,42.9,489,336.0,17.0,30.0,1807,30.3
Nagydobsza,432,95.0,4.7,29.9,1024,,90.7,46.5,440,417.1,18.0,9.0,2325,27.9
Halmaj,330,138.0,11.4,21.6,1497,0.3,90.8,48.4,553,310.9,24.0,2.0,2704,33.6
Abaújlak,1500,185.0,6.1,33.3,1299,,51.9,61.2,614,740.7,4.0,77.0,2117,15.4
Kiskinizs,434,69.0,13.0,29.3,1247,,90.5,40.3,505,348.3,20.0,48.0,2471,4.8
Homrogd,390,37.0,16.0,23.0,1373,,85.2,46.4,505,296.6,43.0,7.0,2719,24.1
Szikszó,406,129.0,10.6,24.8,1636,0.1,89.3,51.7,503,350.2,114.0,1.0,3251,37.7
Monaj,401,,23.2,11.7,1114,,87.4,44.4,506,326.8,11.0,23.0,2201,30.2
Hernádkércs,465,32.0,7.3,13.8,1306,,87.6,58.9,500,352.6,20.0,10.0,2613,51.5
Aszaló,344,49.0,16.5,17.3,1162,,94.3,38.2,455,255.1,49.0,6.0,2554,18.8
Léh,399,27.0,14.4,26.9,994,1.4,91.3,38.7,421,311.2,10.0,10.0,2362,65.0
Gadna,246,,31.9,7.8,223,,68.1,9.9,236,136.5,4.0,83.0,945,25.0
Abaújszolnok,312,,30.2,6.3,516,,69.5,13.2,369,68.8,8.0,91.0,1400,9.1
Szászfa,891,,2.1,21.7,760,,54.9,33.0,435,293.5,12.0,67.0,1748,6.7
Selyeb,341,42.0,22.5,17.2,841,,87.3,30.8,412,156.9,26.0,19.0,2040,38.5
Nyésta,875,,25.0,10.0,852,25.0,71.4,37.5,500,475.0,1.0,100.0,1704,20.0
Nagykinizs,449,106.0,17.4,20.1,877,,80.3,39.8,424,286.2,17.0,28.0,2069,5.6
Alsóvadász,298,33.0,20.6,16.9,928,0.4,74.3,37.2,444,225.4,46.0,6.0,2088,23.0
Gagyvendégi,493,98.0,13.6,17.6,721,4.8,77.2,42.9,361,165.9,9.0,21.0,1997,17.0
Gagybátor,434,,0.9,15.5,491,,82.1,26.2,377,146.1,14.0,40.0,1304,12.0
Kupa,494,64.0,16.2,21.8,916,,79.2,41.4,503,269.2,19.0,53.0,1820,5.3
Szentistvánbaksa,500,112.0,11.9,23.5,973,,80.6,44.0,444,287.3,17.0,32.0,2193,3.2
Rásonysápberencs,375,78.0,16.2,21.4,1322,,89.1,40.4,481,301.6,20.0,22.0,2750,2.2
Felsővadász,337,38.0,26.0,12.4,616,,84.2,26.3,356,131.4,9.0,11.0,1730,30.3
Kázsmárk,292,31.0,7.6,16.2,1033,,93.2,38.5,444,214.4,11.0,7.0,2324,24.0
Pamlény,870,,33.3,17.4,797,,100.0,25.9,519,326.1,11.0,53.0,1535,73.7
Kismaros,323,23.0,6.4,21.3,2174,0.2,100.6,61.4,516,396.1,21.0,3.0,4214,28.8
Márianosztra,468,12.0,4.0,28.3,1909,1.2,79.1,29.3,539,388.3,14.0,3.0,3541,55.5
Szob,426,151.0,7.0,31.0,1893,1.5,86.1,55.7,507,369.8,34.0,2.0,3732,33.4
Kemence,607,123.0,7.9,33.4,1526,0.5,83.5,58.0,460,418.2,59.0,5.0,3317,19.5
Verőce,335,78.0,7.3,21.4,1955,0.5,100.2,59.4,474,374.6,31.0,2.0,4120,39.4
Szokolya,375,45.0,9.2,20.5,1759,0.6,93.8,56.6,510,411.5,67.0,4.0,3447,20.8
Tésa,559,,11.4,20.4,1389,,96.2,59.1,462,6526.9,4.0,100.0,3010,40.0
Vámosmikola,390,85.0,8.7,27.0,1562,,84.5,57.1,448,328.7,44.0,3.0,3484,24.3
Perőcsény,568,,7.0,26.6,1711,3.3,95.6,55.1,470,398.9,18.0,32.0,3643,19.4
Kóspallag,406,52.0,9.2,21.9,1626,,90.7,53.6,514,401.3,12.0,11.0,3164,19.4
Ipolydamásd,532,,9.3,23.0,1924,,76.9,60.6,546,385.0,8.0,30.0,3522,33.3
Nagybörzsöny,563,111.0,10.1,28.1,1108,1.3,79.0,49.1,419,319.6,22.0,9.0,2644,22.4
Zebegény,452,22.0,8.6,22.8,2138,,90.3,56.1,487,415.5,17.0,6.0,4387,27.6
Bernecebaráti,548,60.0,11.0,27.6,1565,,80.2,52.8,482,374.7,64.0,5.0,3246,30.2
Nagymaros,401,75.0,6.3,25.0,1764,0.2,95.3,57.6,460,393.8,34.0,1.0,3838,22.9
Letkés,407,84.0,5.7,25.2,1916,4.1,93.3,58.4,540,443.4,30.0,8.0,3549,23.4
Ipolytölgyes,315,,4.3,18.8,1629,,75.8,28.5,425,319.8,7.0,2.0,3833,86.8
Tiszajenő,513,51.0,11.2,26.7,1557,,99.5,51.5,497,379.7,123.0,4.0,3131,16.8
Szolnok,511,153.0,7.6,28.3,2114,1.2,94.7,59.5,521,388.0,489.0,0.0,4053,28.7
Hunyadfalva,727,144.0,25.2,23.7,955,,92.1,37.4,445,352.5,11.0,43.0,2147,43.5
Szajol,419,85.0,7.4,25.2,1899,0.1,98.7,60.9,526,369.0,60.0,1.0,3610,36.3
Tószeg,416,93.0,10.0,26.8,1963,0.1,99.9,59.7,538,411.2,139.0,1.0,3650,25.2
Rákóczifalva,424,73.0,10.4,26.7,1803,0.1,96.9,57.3,524,387.3,113.0,1.0,3439,24.0
Besenyszög,442,72.0,8.3,26.1,1812,,97.5,59.3,548,381.4,237.0,1.0,3306,13.6
Csataszög,494,,9.1,23.0,1339,,98.5,52.4,485,366.0,22.0,27.0,2758,29.7
Nagykörű,568,113.0,10.1,26.1,1190,0.5,93.1,52.1,420,332.7,168.0,3.0,2834,12.3
Szászberek,449,116.0,4.6,24.0,2098,,93.6,66.8,559,429.9,66.0,7.0,3752,27.1
Zagyvarékas,421,76.0,8.2,22.6,1347,,96.5,52.6,489,329.6,45.0,2.0,2751,19.4
Tiszavárkony,477,65.0,10.5,25.9,1726,,99.9,54.9,509,365.4,86.0,5.0,3391,19.9
Tiszasüly,511,88.0,7.1,29.0,1089,,94.7,52.0,468,286.8,123.0,3.0,2330,17.1
Újszász,439,82.0,9.5,30.6,1530,0.9,97.3,52.0,473,312.0,117.0,1.0,3234,15.0
Vezseny,528,47.0,9.5,23.7,1369,,99.7,47.6,488,1049.0,36.0,11.0,2805,17.6
Martfű,500,70.0,6.7,31.3,1971,0.3,100.0,62.9,536,413.4,69.0,0.0,3675,44.7
Kőtelek,503,93.0,12.3,24.9,998,,99.9,44.8,407,253.7,72.0,4.0,2454,11.6
Rákócziújfalu,404,83.0,9.6,22.6,1640,,98.5,52.5,529,350.2,26.0,5.0,3102,26.5
Sorkifalud,419,63.0,4.4,26.4,1787,,100.0,61.6,539,476.3,31.0,11.0,3316,40.2
Felsőcsatár,367,20.0,3.8,22.8,1623,16.0,100.0,54.6,473,501.0,18.0,15.0,3435,56.9
Vasszilvágy,434,77.0,6.3,26.5,1827,3.7,97.6,59.4,519,528.1,17.0,16.0,3523,61.3
Rábatöttös,564,91.0,6.1,25.9,1746,2.8,98.4,71.2,570,450.0,26.0,20.0,3061,57.1
Horvátlövő,345,,3.1,17.3,1717,10.4,97.4,66.2,684,436.4,39.0,,2509,
Kisunyom,417,23.0,5.3,26.0,1763,4.0,100.0,64.8,496,426.0,8.0,43.0,3558,8.7
Sorkikápolna,561,159.0,5.1,26.5,1996,2.0,100.0,70.2,590,539.7,33.0,34.0,3386,24.1
Szentpéterfa,378,59.0,5.4,23.8,1656,13.8,100.0,60.9,484,509.8,42.0,7.0,3419,11.6
Vasasszonyfa,431,26.0,3.1,23.4,2172,1.3,100.0,67.2,589,451.9,23.0,30.0,3685,27.3
Tanakajd,360,92.0,3.7,22.9,2137,3.2,100.0,66.7,590,504.6,14.0,7.0,3625,53.3
Rum,362,70.0,4.4,21.1,1837,3.5,99.1,59.5,520,414.7,32.0,3.0,3535,48.2
Zsennye,674,112.0,13.8,31.5,1482,3.7,100.0,58.5,476,460.7,12.0,42.0,3113,45.8
Salköveskút,406,21.0,6.5,21.3,2059,3.1,100.0,65.3,556,480.9,20.0,20.0,3703,42.0
Söpte,394,69.0,3.0,29.5,1970,5.0,100.0,70.4,531,579.7,19.0,11.0,3711,36.0
Vát,378,29.0,4.1,24.0,2132,1.4,100.0,64.3,560,477.2,11.0,13.0,3805,43.0
Vassurány,362,26.0,3.6,23.8,2137,3.2,100.0,66.9,576,478.1,20.0,18.0,3712,23.6
Pornóapáti,414,57.0,4.7,30.9,1360,20.0,100.0,60.3,430,520.0,41.0,28.0,3165,44.4
Balogunyom,379,45.0,4.7,24.8,2235,4.9,100.0,67.2,568,507.6,33.0,6.0,3932,43.1
Torony,355,44.0,7.8,17.7,1726,11.9,100.0,56.9,486,461.3,19.0,3.0,3552,46.4
Táplánszentkereszt,346,31.0,4.8,23.5,2001,3.3,100.6,62.8,526,474.3,43.0,3.0,3803,46.1
Szombathely,466,145.0,5.3,27.1,2113,24.4,99.7,62.9,519,449.3,363.0,0.0,4070,34.0
Dozmat,376,,4.1,15.4,1936,3.4,100.9,70.1,522,408.5,9.0,38.0,3711,42.3
Nárai,340,13.0,5.0,18.4,1812,8.0,100.2,63.9,492,506.9,29.0,10.0,3687,26.7
Vép,365,39.0,4.8,23.1,1893,5.5,98.4,60.9,529,493.8,45.0,1.0,3580,48.1
Perenye,365,31.0,5.0,27.1,1977,8.8,100.0,66.0,521,499.2,33.0,18.0,3790,27.3
Bucsu,373,34.0,5.3,24.4,1782,11.1,100.0,58.4,494,494.0,24.0,25.0,3605,27.5
Meszlen,475,49.0,7.8,30.4,1750,4.3,100.0,58.9,482,519.6,18.0,45.0,3633,40.9
Ják,379,46.0,4.0,21.1,1966,6.3,100.6,64.9,540,486.7,61.0,3.0,3640,20.1
Narda,396,20.0,7.2,24.9,1343,18.8,100.0,61.1,440,590.4,25.0,24.0,3053,23.8
Nemesbőd,402,47.0,5.6,24.5,2079,2.9,100.0,63.3,542,466.2,28.0,19.0,3835,30.2
Sorokpolány,370,52.0,5.6,27.9,1954,2.4,99.7,64.4,550,423.2,21.0,9.0,3552,31.5
Csempeszkopács,392,33.0,7.1,22.2,2246,4.1,100.8,65.4,597,509.8,9.0,37.0,3763,40.7
Vasszécseny,397,48.0,5.9,24.8,2143,3.7,100.4,64.5,588,547.1,43.0,4.0,3641,44.0
Vaskeresztes,381,110.0,5.3,22.1,1619,41.2,100.0,65.8,422,513.8,28.0,3.0,3834,84.4
