City_for_merge,lakasallomany,Kiskereskedelmiuzletek,munkanelkuliek1564,jarandosag,szjakepezojovegylakos,kulfoldreingazok,ivoviz,foglalkoztatottak1564,ezerlakosadozo,szemelygepkocsiezerlakos,gazdasagszam,ingazasikulonbozet,szjaalapperfo,helybenfoglalkoztatottak
Hács,566,90.0,7.7,20.8,976,2.0,56.4,35.5,454,463.9,20.0,22.0,2152,15.2
Somogytúr,501,97.0,11.6,24.7,1024,,92.8,50.7,467,515.7,73.0,14.0,2193,23.0
Somogybabod,533,69.0,11.8,30.7,1134,,99.6,50.4,465,524.0,29.0,11.0,2437,24.2
Pamuk,601,48.0,16.3,16.3,842,,83.2,44.4,435,408.7,14.0,42.0,1936,12.5
Visz,580,,17.3,26.0,1073,1.8,92.9,51.1,433,491.1,24.0,30.0,2475,48.5
Kisberény,279,,18.8,7.9,667,,87.5,34.4,426,275.1,13.0,48.0,1566,14.3
Fonyód,566,181.0,8.0,29.4,1726,1.0,94.9,56.9,486,503.9,49.0,0.0,3550,40.6
Balatonfenyves,614,198.0,8.8,26.6,1550,1.8,100.8,53.3,447,512.4,21.0,2.0,3471,27.9
Balatonlelle,608,255.0,10.8,24.1,1460,0.8,77.3,56.1,519,439.7,164.0,1.0,2811,36.3
Balatonboglár,530,275.0,9.9,30.1,1559,1.8,100.1,54.8,521,545.4,203.0,0.0,2992,39.7
Szőlősgyörök,399,48.0,9.2,21.4,1378,,99.4,57.5,475,468.8,93.0,6.0,2902,11.7
Ordacsehi,461,25.0,7.1,24.9,1077,,94.1,53.1,429,490.0,64.0,6.0,2510,24.7
Karád,583,76.0,14.1,24.9,947,,94.9,44.4,410,388.1,110.0,4.0,2308,9.1
Buzsák,498,53.0,8.3,25.3,1098,,100.0,49.8,370,475.7,120.0,5.0,2963,13.4
Somogyvámos,470,74.0,13.5,19.9,815,1.1,83.3,49.5,468,348.1,29.0,5.0,1743,7.3
Látrány,428,58.0,11.6,27.1,1150,2.3,98.8,48.3,469,455.7,104.0,4.0,2453,29.6
Gyugy,470,,17.5,19.9,961,,56.1,45.8,467,418.9,42.0,29.0,2058,23.5
Aldebrő,480,28.0,11.3,26.1,1779,,100.0,55.2,538,448.8,54.0,7.0,3305,34.9
Mezőszemere,604,50.0,11.7,28.0,1051,0.6,84.5,46.3,401,393.6,19.0,5.0,2622,22.2
Újlőrincfalva,681,220.0,11.3,28.0,1334,,100.0,55.3,533,533.0,16.0,19.0,2505,50.0
Füzesabony,438,177.0,8.1,28.4,1693,0.3,97.8,57.0,523,385.5,91.0,0.0,3234,42.2
Mezőtárkány,447,51.0,13.6,21.0,967,,84.5,44.7,438,246.0,53.0,4.0,2206,21.5
Nagyút,513,46.0,7.6,30.7,1265,,94.7,55.3,451,327.2,22.0,16.0,2806,19.0
Besenyőtelek,432,95.0,12.8,23.6,1406,0.2,96.8,53.2,505,348.2,73.0,2.0,2784,20.8
Egerfarmos,477,43.0,10.8,25.3,1281,,91.0,51.4,491,311.4,26.0,14.0,2608,23.9
Sarud,541,131.0,6.7,24.7,900,,100.0,42.6,405,267.8,29.0,4.0,2222,26.1
Kápolna,398,98.0,13.1,22.6,1443,,97.0,50.1,464,404.8,43.0,3.0,3108,53.1
Szihalom,472,76.0,8.7,26.6,1547,0.2,99.9,59.5,506,355.7,34.0,4.0,3058,13.4
Kál,400,141.0,11.7,22.0,1409,0.2,96.4,47.5,451,317.2,67.0,1.0,3126,53.5
Kompolt,416,66.0,11.6,23.3,1367,,99.1,49.1,447,329.5,41.0,3.0,3061,32.2
Dormánd,400,62.0,14.8,22.5,1255,,84.1,50.3,492,301.8,30.0,7.0,2553,42.4
Poroszló,477,168.0,14.1,25.1,1153,,100.1,52.4,458,336.2,141.0,1.0,2516,8.1
Tófalu,492,54.0,13.1,28.1,1122,,100.0,44.8,446,297.0,33.0,20.0,2517,24.5
Sukoró,324,34.0,8.2,17.9,2750,,102.0,61.6,534,451.5,15.0,5.0,5150,25.9
Vereb,403,65.0,11.1,24.0,1697,0.5,100.6,58.4,502,411.6,31.0,12.0,3382,14.0
Zichyújfalu,327,12.0,13.5,21.5,1736,,83.7,57.8,531,378.2,15.0,5.0,3270,45.3
Szabadegyháza,415,126.0,7.3,23.0,2064,0.2,96.8,59.4,581,450.4,60.0,1.0,3555,49.1
Velence,371,110.0,8.3,23.5,2371,0.5,96.3,55.7,510,420.7,93.0,1.0,4649,49.4
Pázmánd,400,43.0,6.7,21.9,1984,0.5,88.4,61.7,544,449.2,101.0,4.0,3646,12.5
Nadap,361,38.0,8.4,16.3,2591,,101.9,58.8,536,1664.6,8.0,30.0,4838,6.1
Gárdony,362,82.0,8.7,23.8,2251,0.1,84.6,58.8,514,403.1,90.0,0.0,4379,27.0
Pákozd,349,50.0,6.5,20.1,2357,0.1,93.3,60.7,555,436.5,44.0,2.0,4248,43.0
Kápolnásnyék,404,120.0,8.3,23.7,2241,0.5,90.5,58.7,526,451.3,77.0,1.0,4260,46.4
Kerepes,370,58.0,8.3,21.6,2158,0.3,101.3,58.7,507,460.5,50.0,1.0,4254,26.4
